service_id,date,exception_type
CNS 23_24-35487,20240329,2
CNS 23_24-35487-0000100,20240329,2
CNS 23_24-35487,20240401,2
CNS 23_24-35487-0000100,20240401,2
CNS 23_24-35487,20240402,2
CNS 23_24-35487-0000100,20240402,2
CNS 23_24-35487,20240403,2
CNS 23_24-35487-0000100,20240403,2
CNS 23_24-35487,20240404,2
CNS 23_24-35487-0000100,20240404,2
CNS 23_24-35487,20240405,2
CNS 23_24-35487-0000100,20240405,2
CNS 23_24-35487,20240408,2
CNS 23_24-35487-0000100,20240408,2
CNS 23_24-35487,20240409,2
CNS 23_24-35487-0000100,20240409,2
CNS 23_24-35487,20240410,2
CNS 23_24-35487-0000100,20240410,2
CNS 23_24-35487,20240411,2
CNS 23_24-35487-0000100,20240411,2
CNS 23_24-35487,20240412,2
CNS 23_24-35487-0000100,20240412,2
CNS 23_24-35487,20240425,2
CNS 23_24-35487-0000100,20240425,2
CNS 23_24-35488,20240330,2
CNS 23_24-35486,20240330,1
CNS 23_24-35486,20240401,1
CNS 23_24-35486,20240425,1
