shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
110N0004,-16.745477,145.665905,10001
110N0004,-16.744308,145.667393,10002
110N0004,-16.743635,145.668250,10003
110N0004,-16.743635,145.668250,20001
110N0004,-16.743522,145.668394,20002
110N0004,-16.741258,145.671277,20003
110N0004,-16.744007,145.671074,20004
110N0004,-16.744103,145.671072,20005
110N0004,-16.744103,145.671072,30001
110N0004,-16.744732,145.671060,30002
110N0004,-16.747083,145.670999,30003
110N0004,-16.749574,145.671118,30004
110N0004,-16.749645,145.669650,30005
110N0004,-16.749381,145.668625,30006
110N0004,-16.749351,145.668536,30007
110N0004,-16.749207,145.667912,30008
110N0004,-16.749207,145.667912,40001
110N0004,-16.749159,145.667705,40002
110N0004,-16.749084,145.667483,40003
110N0004,-16.748589,145.665470,40004
110N0004,-16.748260,145.664198,40005
110N0004,-16.748135,145.663679,40006
110N0004,-16.748135,145.663679,50001
110N0004,-16.747942,145.662878,50002
110N0004,-16.749262,145.662576,50003
110N0004,-16.751285,145.662151,50004
110N0004,-16.751653,145.662112,50005
110N0004,-16.752140,145.662077,50006
110N0004,-16.752693,145.662065,50007
110N0004,-16.753311,145.662084,50008
110N0004,-16.754047,145.662131,50009
110N0004,-16.754728,145.662224,50010
110N0004,-16.755468,145.662368,50011
110N0004,-16.756198,145.662551,50012
110N0004,-16.756666,145.662703,50013
110N0004,-16.757919,145.663171,50014
110N0004,-16.758070,145.663239,50015
110N0004,-16.758070,145.663239,60001
110N0004,-16.758190,145.663294,60002
110N0004,-16.758963,145.663723,60003
110N0004,-16.760168,145.664494,60004
110N0004,-16.762563,145.666312,60005
110N0004,-16.763653,145.667133,60006
110N0004,-16.764320,145.667605,60007
110N0004,-16.764058,145.667949,60008
110N0004,-16.764058,145.667949,70001
110N0004,-16.763968,145.668068,70002
110N0004,-16.762843,145.669483,70003
110N0004,-16.762843,145.669483,80001
110N0004,-16.762682,145.669686,80002
110N0004,-16.762358,145.670087,80003
110N0004,-16.761619,145.670997,80004
110N0004,-16.761557,145.671106,80005
110N0004,-16.761460,145.671292,80006
110N0004,-16.761425,145.671460,80007
110N0004,-16.761400,145.671701,80008
110N0004,-16.761404,145.671924,80009
110N0004,-16.761433,145.672248,80010
110N0004,-16.761479,145.672799,80011
110N0004,-16.761480,145.672825,80012
110N0004,-16.761480,145.672825,90001
110N0004,-16.761494,145.673191,90002
110N0004,-16.762221,145.673189,90003
110N0004,-16.763571,145.673941,90004
110N0004,-16.764100,145.674229,90005
110N0004,-16.764428,145.674406,90006
110N0004,-16.764463,145.674480,90007
110N0004,-16.764448,145.674592,90008
110N0004,-16.764202,145.675103,90009
110N0004,-16.764190,145.675160,90010
110N0004,-16.764187,145.675237,90011
110N0004,-16.764232,145.675310,90012
110N0004,-16.764298,145.675367,90013
110N0004,-16.764353,145.675393,90014
110N0004,-16.764353,145.675393,100001
110N0004,-16.766073,145.676212,100002
110N0004,-16.767451,145.676958,100003
110N0004,-16.767451,145.676958,110001
110N0004,-16.767797,145.677145,110002
110N0004,-16.768268,145.676360,110003
110N0004,-16.768559,145.675903,110004
110N0004,-16.768729,145.675636,110005
110N0004,-16.768970,145.675405,110006
110N0004,-16.768970,145.675405,120001
110N0004,-16.769192,145.675193,120002
110N0004,-16.770943,145.674978,120003
110N0004,-16.771838,145.674640,120004
110N0004,-16.771862,145.674612,120005
110N0004,-16.771862,145.674612,130001
110N0004,-16.772358,145.674000,130002
110N0004,-16.772612,145.674175,130003
110N0004,-16.772612,145.674175,140001
110N0004,-16.772802,145.674308,140002
110N0004,-16.773222,145.674537,140003
110N0004,-16.773635,145.674724,140004
110N0004,-16.774037,145.674883,140005
110N0004,-16.774508,145.675016,140006
110N0004,-16.774862,145.675085,140007
110N0004,-16.775520,145.675190,140008
110N0004,-16.776008,145.675204,140009
110N0004,-16.776343,145.675162,140010
110N0004,-16.777093,145.675008,140011
110N0004,-16.781037,145.673740,140012
110N0004,-16.781220,145.673725,140013
110N0004,-16.781641,145.673604,140014
110N0004,-16.781957,145.673520,140015
110N0004,-16.782250,145.673455,140016
110N0004,-16.782446,145.673422,140017
110N0004,-16.782614,145.673406,140018
110N0004,-16.783087,145.673369,140019
110N0004,-16.783515,145.673360,140020
110N0004,-16.783673,145.673322,140021
110N0004,-16.784325,145.673378,140022
110N0004,-16.784953,145.673508,140023
110N0004,-16.785525,145.673807,140024
110N0004,-16.786105,145.674128,140025
110N0004,-16.786618,145.674459,140026
110N0004,-16.787476,145.675315,140027
110N0004,-16.787810,145.675649,140028
110N0004,-16.788089,145.675927,140029
