trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
26971368-CNS 23_24-35487,24:45:00,24:45:00,750225,1,0,0
26971368-CNS 23_24-35487,24:46:00,24:46:00,750226,2,0,0
26971368-CNS 23_24-35487,24:48:00,24:48:00,750441,3,0,0
26971368-CNS 23_24-35487,24:49:00,24:49:00,750477,4,0,0
26971368-CNS 23_24-35487,24:50:00,24:50:00,750443,5,0,0
26971368-CNS 23_24-35487,24:51:00,24:51:00,750136,6,0,0
26971368-CNS 23_24-35487,24:53:00,24:53:00,750138,7,0,0
26971368-CNS 23_24-35487,24:54:00,24:54:00,750139,8,0,0
26971368-CNS 23_24-35487,24:54:00,24:54:00,750140,9,0,0
26971368-CNS 23_24-35487,24:55:00,24:55:00,750141,10,0,0
26971368-CNS 23_24-35487,24:55:00,24:55:00,750142,11,0,0
26971368-CNS 23_24-35487,24:55:00,24:55:00,750143,12,0,0
26971368-CNS 23_24-35487,24:59:00,24:59:00,750509,13,1,0
26971368-CNS 23_24-35487,25:05:00,25:05:00,750728,14,1,0
26971368-CNS 23_24-35487,25:07:00,25:07:00,750445,15,1,0
26971368-CNS 23_24-35487,25:07:00,25:07:00,750051,16,1,0
26971368-CNS 23_24-35487,25:08:00,25:08:00,750346,17,1,0
26971368-CNS 23_24-35487,25:09:00,25:09:00,750499,18,1,0
26971368-CNS 23_24-35487,25:10:00,25:10:00,750044,19,1,0
26971368-CNS 23_24-35487,25:10:00,25:10:00,750349,20,1,0
26971368-CNS 23_24-35487,25:11:00,25:11:00,750496,21,1,0
26971368-CNS 23_24-35487,25:12:00,25:12:00,750500,22,1,0
26971368-CNS 23_24-35487,25:12:00,25:12:00,750350,23,1,0
26971368-CNS 23_24-35487,25:13:00,25:13:00,750352,24,1,0
26971368-CNS 23_24-35487,25:13:00,25:13:00,750024,25,1,0
26971368-CNS 23_24-35487,25:13:00,25:13:00,750025,26,1,0
26971368-CNS 23_24-35487,25:13:00,25:13:00,750026,27,1,0
26971368-CNS 23_24-35487,25:14:00,25:14:00,750356,28,1,0
26971368-CNS 23_24-35487,25:14:00,25:14:00,750018,29,1,0
26971368-CNS 23_24-35487,25:14:00,25:14:00,750019,30,1,0
26971368-CNS 23_24-35487,25:15:00,25:15:00,750027,31,1,0
26971368-CNS 23_24-35487,25:16:00,25:16:00,750022,32,1,0
26971368-CNS 23_24-35487,25:17:00,25:17:00,750028,33,1,0
26971368-CNS 23_24-35487,25:18:00,25:18:00,750495,34,1,0
26971368-CNS 23_24-35487,25:18:00,25:18:00,750358,35,1,0
26971368-CNS 23_24-35487,25:19:00,25:19:00,750029,36,1,0
26971368-CNS 23_24-35487,25:20:00,25:20:00,750030,37,1,0
26971368-CNS 23_24-35487,25:20:00,25:20:00,750031,38,1,0
26971368-CNS 23_24-35487,25:21:00,25:21:00,750032,39,1,0
26971368-CNS 23_24-35487,25:21:00,25:21:00,750717,40,1,0
26971368-CNS 23_24-35487,25:24:00,25:24:00,750638,41,1,0
26971368-CNS 23_24-35487,25:24:00,25:24:00,750035,42,1,0
26971368-CNS 23_24-35487,25:24:00,25:24:00,750345,43,1,0
26971368-CNS 23_24-35487,25:25:00,25:25:00,750344,44,1,0
26971368-CNS 23_24-35487,25:25:00,25:25:00,750343,45,1,0
26971368-CNS 23_24-35487,25:25:00,25:25:00,750342,46,1,0
26971368-CNS 23_24-35487,25:26:00,25:26:00,750036,47,1,0
26971368-CNS 23_24-35487,25:26:00,25:26:00,750037,48,1,0
26971368-CNS 23_24-35487,25:27:00,25:27:00,750038,49,1,0
26971368-CNS 23_24-35487,25:28:00,25:28:00,750491,50,1,0
26971368-CNS 23_24-35487,25:28:00,25:28:00,750492,51,1,0
26971368-CNS 23_24-35487,25:29:00,25:29:00,750039,52,1,0
26971368-CNS 23_24-35487,25:30:00,25:30:00,750040,53,1,0
26971368-CNS 23_24-35487,25:30:00,25:30:00,750718,54,1,0
26971369-CNS 23_24-35487,25:45:00,25:45:00,750225,1,0,0
26971369-CNS 23_24-35487,25:46:00,25:46:00,750226,2,0,0
