route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
110N-3457,CNS 23_24-35487-0000100,26971368-CNS 23_24-35487,"Palm Cove",1,,110N0006
110N-3457,CNS 23_24-35487-0000100,26971369-CNS 23_24-35487,"Palm Cove",1,,110N0006
110N-3457,CNS 23_24-35487-0000100,26971370-CNS 23_24-35487,"Palm Cove",1,,110N0006
110N-3457,CNS 23_24-35487-0000100,26971371-CNS 23_24-35487,"Palm Cove",1,,110N0006
110N-3457,CNS 23_24-35487-0000100,26971372-CNS 23_24-35487,"Palm Cove",1,,110N0006
110N-3457,CNS 23_24-35487-0000100,26971373-CNS 23_24-35487,"Cairns Central",0,,110N0004
110N-3457,CNS 23_24-35487-0000100,26971374-CNS 23_24-35487,"Cairns Central",0,,110N0004
110N-3457,CNS 23_24-35487-0000100,26971375-CNS 23_24-35487,"Cairns Central",0,,110N0004
110N-3457,CNS 23_24-35487-0000100,26971376-CNS 23_24-35487,"Cairns Central",0,,110N0004
C112-3457,CNS 23_24-35487,26971377-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971378-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971379-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971380-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971381-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971382-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971383-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971384-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971385-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971386-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971387-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971388-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971389-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971390-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C112-3457,CNS 23_24-35487,26971391-CNS 23_24-35487,"Yorkeys Knob",0,,C1120070
C113-3457,CNS 23_24-35487,26971392-CNS 23_24-35487,"SunBus Depot",1,,C1130049
C113-3457,CNS 23_24-35487,26971393-CNS 23_24-35487,"SunBus Depot",1,,C1130049
C113-3457,CNS 23_24-35487,26971394-CNS 23_24-35487,"SunBus Depot",1,,C1130049
C113-3457,CNS 23_24-35487,26971395-CNS 23_24-35487,"Cairns Central",0,,C1130050
C113-3457,CNS 23_24-35487,26971396-CNS 23_24-35487,"Cairns Central",0,,C1130050
C113-3457,CNS 23_24-35487,26971397-CNS 23_24-35487,"Cairns Central",0,,C1130050
C120-3457,CNS 23_24-35487,26971398-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971399-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971400-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971401-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971402-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971403-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971404-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971405-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971406-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971407-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971408-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971409-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971410-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971411-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971412-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971413-CNS 23_24-35487,"Smithfield Shopping Centre",1,,C1200107
C120-3457,CNS 23_24-35487,26971414-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971415-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971416-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971417-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971418-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971419-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971420-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971421-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971422-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971423-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971424-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971425-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971426-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971427-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971428-CNS 23_24-35487,"Cairns Central",0,,C1200106
C120-3457,CNS 23_24-35487,26971429-CNS 23_24-35487,"Cairns Central",0,,C1200106
C123-3457,CNS 23_24-35487,26971430-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971431-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971432-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971433-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971434-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971435-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971436-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971437-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971438-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971439-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971440-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971441-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971442-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971443-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971444-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971445-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971446-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971447-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971448-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971449-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971450-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971451-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971452-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971453-CNS 23_24-35487,"Raintrees",1,,C1230189
C123-3457,CNS 23_24-35487,26971454-CNS 23_24-35487,"James Cook University",1,,C1230218
C123-3457,CNS 23_24-35487,26971455-CNS 23_24-35487,"Redlynch",1,,C1230191
C123-3457,CNS 23_24-35487,26971456-CNS 23_24-35487,"Redlynch",1,,C1230191
C123-3457,CNS 23_24-35487,26971457-CNS 23_24-35487,"Redlynch",1,,C1230191
C123-3457,CNS 23_24-35487,26971458-CNS 23_24-35487,"Redlynch",1,,C1230191
C123-3457,CNS 23_24-35487,26971459-CNS 23_24-35487,"Redlynch",1,,C1230191
C123-3457,CNS 23_24-35487,26971460-CNS 23_24-35487,"Cairns Central",0,,C1230219
C123-3457,CNS 23_24-35487,26971461-CNS 23_24-35487,"Cairns Central",0,,C1230219
C123-3457,CNS 23_24-35487,26971462-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971463-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971464-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971465-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971466-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971467-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971468-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971469-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971470-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971471-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971472-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971473-CNS 23_24-35487,"Cairns Central",0,,C1230220
C123-3457,CNS 23_24-35487,26971474-CNS 23_24-35487,"Cairns Central",0,,C1230216
C123-3457,CNS 23_24-35487,26971475-CNS 23_24-35487,"Cairns Central",0,,C1230216
C123-3457,CNS 23_24-35487,26971476-CNS 23_24-35487,"Cairns Central",0,,C1230216
C123-3457,CNS 23_24-35487,26971477-CNS 23_24-35487,"Cairns Central",0,,C1230216
C123-3457,CNS 23_24-35487,26971478-CNS 23_24-35487,"Cairns Central",0,,C1230216
C123-3457,CNS 23_24-35487,26971479-CNS 23_24-35487,"Cairns Central",0,,C1230216
C123-3457,CNS 23_24-35487,26971480-CNS 23_24-35487,"Cairns Central",0,,C1230216
